substance,ec,cas,clp_class,h_code
"2,3-epoxypropyl methacrylate; glycidyl methacrylate",203-441-9,106-91-2,Skin Sens. 1,H317
2-hydroxyethyl methacrylate,212-782-2,868-77-9,Skin Irrit. 2,H315
2-hydroxyethyl methacrylate,212-782-2,868-77-9,Eye Irrit. 2,H319
2-hydroxyethyl methacrylate,212-782-2,868-77-9,Skin Sens. 1,H317
"2-hydroxypropyl methacrylate [1]
3-hydroxypropyl methacrylate  [2]
","213-090-3 [1]
220-426-2 [2]
","923-26-2 [1]
2761-09-3 [2]
",Eye Irrit. 2,H319
"2-hydroxypropyl methacrylate [1]
3-hydroxypropyl methacrylate  [2]
","213-090-3 [1]
220-426-2 [2]
","923-26-2 [1]
2761-09-3 [2]
",Skin Sens. 1,H317
"2,2'-(ethylenedioxy)diethyl diacrylate; triethylene glycol diacrylate",216-853-9,1680-21-3,Skin Irrit. 2,H315
"2,2'-(ethylenedioxy)diethyl diacrylate; triethylene glycol diacrylate",216-853-9,1680-21-3,Eye Irrit. 2,H319
"2,2'-(ethylenedioxy)diethyl diacrylate; triethylene glycol diacrylate",216-853-9,1680-21-3,Skin Sens. 1,H317
2-diethylaminoethyl methacrylate,203-275-7,105-16-8,Acute Tox. 4 *,H332
2-diethylaminoethyl methacrylate,203-275-7,105-16-8,Skin Irrit. 2,H315
2-diethylaminoethyl methacrylate,203-275-7,105-16-8,Eye Irrit. 2,H319
2-diethylaminoethyl methacrylate,203-275-7,105-16-8,Skin Sens. 1,H317
2-tert-butylaminoethyl methacrylate,223-228-4,3775-90-4,Skin Irrit. 2,H315
2-tert-butylaminoethyl methacrylate,223-228-4,3775-90-4,Eye Irrit. 2,H319
2-tert-butylaminoethyl methacrylate,223-228-4,3775-90-4,Skin Sens. 1,H317
"ethyl lactate; ethyl DL-lactate [1]
ethyl (S)-2-hydroxypropionate; ethyl L-lactate; ethyl-(S)-lactate  [2]
","202-598-0 [1]
211-694-1 [2]
","97-64-3 [1]
687-47-8 [2]
",Flam. Liq. 3,H226
"ethyl lactate; ethyl DL-lactate [1]
ethyl (S)-2-hydroxypropionate; ethyl L-lactate; ethyl-(S)-lactate  [2]
","202-598-0 [1]
211-694-1 [2]
","97-64-3 [1]
687-47-8 [2]
",STOT SE 3,H335
"ethyl lactate; ethyl DL-lactate [1]
ethyl (S)-2-hydroxypropionate; ethyl L-lactate; ethyl-(S)-lactate  [2]
","202-598-0 [1]
211-694-1 [2]
","97-64-3 [1]
687-47-8 [2]
",Eye Dam. 1,H318
"pentyl acetate [1]
isopentyl acetate [2]
1-methylbutyl acetate [3]
2-methylbutyl acetat [4]
2(or 3)-methylbutyl acetate  [5]
","211-047-3 [1]
204-662-3 [2]
210-946-8 [3]
210-843-8 [4]
282-263-3 [5]
","628-63-7 [1]
123-92-2 [2]
626-38-0 [3]
624-41-9 [4]
84145-37-9 [5]
",Flam. Liq. 3,H226
"isopentyl propionate [1]
pentyl propionate [2]
2-methylbutyl propionate  [3]
","203-322-1 [1]
210-852-7 [2]
219-449-0 [3]
","105-68-0 [1]
624-54-4 [2]
2438-20-2 [3]
",Flam. Liq. 3,H226
2-dimethylaminoethyl methacrylate,220-688-8,2867-47-2,Acute Tox. 4 *,H312
2-dimethylaminoethyl methacrylate,220-688-8,2867-47-2,Acute Tox. 4 *,H302
2-dimethylaminoethyl methacrylate,220-688-8,2867-47-2,Skin Irrit. 2,H315
2-dimethylaminoethyl methacrylate,220-688-8,2867-47-2,Eye Irrit. 2,H319
2-dimethylaminoethyl methacrylate,220-688-8,2867-47-2,Skin Sens. 1,H317
monoalkyl or monoaryl or monoalkylaryl esters of acrylic acid with the exception of those specified elsewhere in this Annex,NA,NA,STOT SE 3,H335
monoalkyl or monoaryl or monoalkylaryl esters of acrylic acid with the exception of those specified elsewhere in this Annex,NA,NA,Skin Irrit. 2,H315
monoalkyl or monoaryl or monoalkylaryl esters of acrylic acid with the exception of those specified elsewhere in this Annex,NA,NA,Eye Irrit. 2,H319
monoalkyl or monoaryl or monoalkylaryl esters of acrylic acid with the exception of those specified elsewhere in this Annex,NA,NA,Aquatic Chronic 2,H411
monoalkyl or monoaryl or monoalkyaryl esters of methacrylic acid with the exception of those specified elsewhere in this Annex,NA,NA,STOT SE 3,H335
monoalkyl or monoaryl or monoalkyaryl esters of methacrylic acid with the exception of those specified elsewhere in this Annex,NA,NA,Skin Irrit. 2,H315
monoalkyl or monoaryl or monoalkyaryl esters of methacrylic acid with the exception of those specified elsewhere in this Annex,NA,NA,Eye Irrit. 2,H319
butyric acid,203-532-3,107-92-6,Skin Corr. 1B,H314
butyryl chloride,205-498-5,141-75-3,Flam. Liq. 2,H225
butyryl chloride,205-498-5,141-75-3,Skin Corr. 1B,H314
methyl acetoacetate,203-299-8,105-45-3,Eye Irrit. 2,H319
butyl chloroformate; chloroformic acid butyl ester,209-750-5,592-34-7,Flam. Liq. 3,H226
butyl chloroformate; chloroformic acid butyl ester,209-750-5,592-34-7,Acute Tox. 3 *,H331
butyl chloroformate; chloroformic acid butyl ester,209-750-5,592-34-7,Skin Corr. 1B,H314
2-chloropropionic acid,209-952-3,598-78-7,Acute Tox. 4 *,H302
2-chloropropionic acid,209-952-3,598-78-7,Skin Corr. 1A,H314
isobutyryl chloride,201-194-1,79-30-1,Flam. Liq. 2,H225
isobutyryl chloride,201-194-1,79-30-1,Skin Corr. 1A,H314
oxydiethylene bis(chloroformate),203-430-9,106-75-2,Acute Tox. 4 *,H302
oxydiethylene bis(chloroformate),203-430-9,106-75-2,Skin Irrit. 2,H315
oxydiethylene bis(chloroformate),203-430-9,106-75-2,Eye Dam. 1,H318
oxydiethylene bis(chloroformate),203-430-9,106-75-2,Aquatic Chronic 2,H411
propyl chloroformate; chloroformic acid propylester; n-propyl chloroformate,203-687-7,109-61-5,Flam. Liq. 2,H225
propyl chloroformate; chloroformic acid propylester; n-propyl chloroformate,203-687-7,109-61-5,Acute Tox. 3 *,H331
propyl chloroformate; chloroformic acid propylester; n-propyl chloroformate,203-687-7,109-61-5,Skin Corr. 1B,H314
valeric acid,203-677-2,109-52-4,Skin Corr. 1B,H314
valeric acid,203-677-2,109-52-4,Aquatic Chronic 3,H412
adipic acid,204-673-3,124-04-9,Eye Irrit. 2,H319
methanesulphonic acid,200-898-6,75-75-2,Skin Corr. 1B,H314
fumaric acid,203-743-0,110-17-8,Eye Irrit. 2,H319
oxalic acid diethylester; diethyl oxalate,202-464-1,95-92-1,Acute Tox. 4 *,H302
oxalic acid diethylester; diethyl oxalate,202-464-1,95-92-1,Eye Irrit. 2,H319
guanidinium chloride; guanadine hydrochloride,200-002-3,50-01-1,Acute Tox. 4 *,H302
guanidinium chloride; guanadine hydrochloride,200-002-3,50-01-1,Skin Irrit. 2,H315
guanidinium chloride; guanadine hydrochloride,200-002-3,50-01-1,Eye Irrit. 2,H319
urethane (INN); ethyl carbamate,200-123-1,51-79-6,Carc. 1B,H350
"endothal (ISO); 7-oxabicyclo(2,2,1)heptane-2,3-dicarboxylic acid",205-660-5,145-73-3,Acute Tox. 3 *,H301
"endothal (ISO); 7-oxabicyclo(2,2,1)heptane-2,3-dicarboxylic acid",205-660-5,145-73-3,Acute Tox. 4 *,H312
"endothal (ISO); 7-oxabicyclo(2,2,1)heptane-2,3-dicarboxylic acid",205-660-5,145-73-3,STOT SE 3,H335
"endothal (ISO); 7-oxabicyclo(2,2,1)heptane-2,3-dicarboxylic acid",205-660-5,145-73-3,Skin Irrit. 2,H315
"endothal (ISO); 7-oxabicyclo(2,2,1)heptane-2,3-dicarboxylic acid",205-660-5,145-73-3,Eye Irrit. 2,H319
propargite (ISO); 2-(4-tert-butylphenoxy) cyclohexyl prop-2-ynyl sulphite,219-006-1,2312-35-8,Carc. 2,H351
propargite (ISO); 2-(4-tert-butylphenoxy) cyclohexyl prop-2-ynyl sulphite,219-006-1,2312-35-8,Acute Tox. 3 *,H331
propargite (ISO); 2-(4-tert-butylphenoxy) cyclohexyl prop-2-ynyl sulphite,219-006-1,2312-35-8,Skin Irrit. 2,H315
propargite (ISO); 2-(4-tert-butylphenoxy) cyclohexyl prop-2-ynyl sulphite,219-006-1,2312-35-8,Eye Dam. 1,H318
propargite (ISO); 2-(4-tert-butylphenoxy) cyclohexyl prop-2-ynyl sulphite,219-006-1,2312-35-8,Aquatic Acute 1,H400
propargite (ISO); 2-(4-tert-butylphenoxy) cyclohexyl prop-2-ynyl sulphite,219-006-1,2312-35-8,Aquatic Chronic 1,H410
"2,3,6-TBA (ISO); 2,3,6-trichlorobenzoic acid",200-026-4,50-31-7,Acute Tox. 4 *,H302
"2,3,6-TBA (ISO); 2,3,6-trichlorobenzoic acid",200-026-4,50-31-7,Aquatic Chronic 2,H411
"benazolin (ISO); 4-chloro-2,3-dihydro-2-oxo-1,3-benzothiazol-3-ylacetic acid",223-297-0,3813-05-6,Skin Irrit. 2,H315
"benazolin (ISO); 4-chloro-2,3-dihydro-2-oxo-1,3-benzothiazol-3-ylacetic acid",223-297-0,3813-05-6,Eye Irrit. 2,H319
"benazolin (ISO); 4-chloro-2,3-dihydro-2-oxo-1,3-benzothiazol-3-ylacetic acid",223-297-0,3813-05-6,Aquatic Chronic 3,H412
"ethyl N-benzoyl-N-(3,4-dichlorophenyl)-DL-alaninate; benzoylprop-ethyl (ISO)",244-845-5,22212-55-1,Acute Tox. 4 *,H302
"ethyl N-benzoyl-N-(3,4-dichlorophenyl)-DL-alaninate; benzoylprop-ethyl (ISO)",244-845-5,22212-55-1,Aquatic Acute 1,H400
"ethyl N-benzoyl-N-(3,4-dichlorophenyl)-DL-alaninate; benzoylprop-ethyl (ISO)",244-845-5,22212-55-1,Aquatic Chronic 1,H410
"3-(3-amino-5-(1-methylguanidino)-1-oxopentylamino-6-(4-amino-2-oxo-2,3-dihydro-pyrimidin-1-yl)-2,3-dihydro-(6H)-pyran-2-carboxylic acid; blasticidin-s",NA,2079-00-7,Acute Tox. 2 *,H300
chlorfenson (ISO); 4-chlorophenyl 4-chlorobenzenesulfonate,201-270-4,80-33-1,Acute Tox. 4 *,H302
chlorfenson (ISO); 4-chlorophenyl 4-chlorobenzenesulfonate,201-270-4,80-33-1,Skin Irrit. 2,H315
chlorfenson (ISO); 4-chlorophenyl 4-chlorobenzenesulfonate,201-270-4,80-33-1,Aquatic Acute 1,H400
chlorfenson (ISO); 4-chlorophenyl 4-chlorobenzenesulfonate,201-270-4,80-33-1,Aquatic Chronic 1,H410
"difenacoum (ISO); 3-(3-biphenyl-4-yl-1,2,3,4-tetrahydro-1-naphthyl)-4-hydroxycoumarin",259-978-4,56073-07-5,Repr. 1B,H360D
"difenacoum (ISO); 3-(3-biphenyl-4-yl-1,2,3,4-tetrahydro-1-naphthyl)-4-hydroxycoumarin",259-978-4,56073-07-5,Acute Tox. 1,H330
"difenacoum (ISO); 3-(3-biphenyl-4-yl-1,2,3,4-tetrahydro-1-naphthyl)-4-hydroxycoumarin",259-978-4,56073-07-5,Acute Tox. 1,H310
"difenacoum (ISO); 3-(3-biphenyl-4-yl-1,2,3,4-tetrahydro-1-naphthyl)-4-hydroxycoumarin",259-978-4,56073-07-5,Acute Tox. 1,H300
"difenacoum (ISO); 3-(3-biphenyl-4-yl-1,2,3,4-tetrahydro-1-naphthyl)-4-hydroxycoumarin",259-978-4,56073-07-5,STOT RE 1,H372 (blood)
"difenacoum (ISO); 3-(3-biphenyl-4-yl-1,2,3,4-tetrahydro-1-naphthyl)-4-hydroxycoumarin",259-978-4,56073-07-5,Aquatic Acute 1,H400
"difenacoum (ISO); 3-(3-biphenyl-4-yl-1,2,3,4-tetrahydro-1-naphthyl)-4-hydroxycoumarin",259-978-4,56073-07-5,Aquatic Chronic 1,H410
sodium salt of chloroacetic acid; sodium chloroacetate,223-498-3,3926-62-3,Acute Tox. 3 *,H301
sodium salt of chloroacetic acid; sodium chloroacetate,223-498-3,3926-62-3,Skin Irrit. 2,H315
sodium salt of chloroacetic acid; sodium chloroacetate,223-498-3,3926-62-3,Aquatic Acute 1,H400
"chlorobenzilate (ISO); ethyl 2,2-di(4-chlorophenyl)-2-hydroxyacetate; ethyl 4,4'-dichlorobenzilate",208-110-2,510-15-6,Acute Tox. 4 *,H302
"chlorobenzilate (ISO); ethyl 2,2-di(4-chlorophenyl)-2-hydroxyacetate; ethyl 4,4'-dichlorobenzilate",208-110-2,510-15-6,Aquatic Acute 1,H400
"chlorobenzilate (ISO); ethyl 2,2-di(4-chlorophenyl)-2-hydroxyacetate; ethyl 4,4'-dichlorobenzilate",208-110-2,510-15-6,Aquatic Chronic 1,H410
isobutyl 2-(4-(4-chlorophenoxy)phenoxy)propionate; clofop-isobutyl (ISO),NA,51337-71-4,Acute Tox. 4 *,H302
diethanolamine salt of 4-CPA,NA,NA,Acute Tox. 4 *,H302
"dalapon; 2,2-dichloropropionic acid [1]
dalapon-sodium; sodium 2,2-dichloropropionate  [2]
","200-923-0 [1]
204-828-5 [2]
","75-99-0 [1]
127-20-8 [2]
",Skin Irrit. 2,H315
"dalapon; 2,2-dichloropropionic acid [1]
dalapon-sodium; sodium 2,2-dichloropropionate  [2]
","200-923-0 [1]
204-828-5 [2]
","75-99-0 [1]
127-20-8 [2]
",Eye Dam. 1,H318
"dalapon; 2,2-dichloropropionic acid [1]
dalapon-sodium; sodium 2,2-dichloropropionate  [2]
","200-923-0 [1]
204-828-5 [2]
","75-99-0 [1]
127-20-8 [2]
",Aquatic Chronic 3,H412
"3-acetyl-6-methyl-2H-pyran-2,4(3H)-dione; dehydracetic acid",208-293-9,520-45-6,Acute Tox. 4 *,H302
"sodium 1-(3,4-dihydro-6-methyl-2,4-dioxo-2H-pyran-3-ylidene)ethonolate; sodium dehydracetate",224-580-1,4418-26-2,Acute Tox. 4 *,H302
"diclofop-methyl (ISO); methyl 2-(4-(2,4-dichlorophenoxy)phenoxy)propionate; methyl (RS)-2-[4-(2,4-dichlorophenoxy)phenoxy]propionate",257-141-8,51338-27-3,Acute Tox. 4 *,H302
"diclofop-methyl (ISO); methyl 2-(4-(2,4-dichlorophenoxy)phenoxy)propionate; methyl (RS)-2-[4-(2,4-dichlorophenoxy)phenoxy]propionate",257-141-8,51338-27-3,Skin Sens. 1,H317
"diclofop-methyl (ISO); methyl 2-(4-(2,4-dichlorophenoxy)phenoxy)propionate; methyl (RS)-2-[4-(2,4-dichlorophenoxy)phenoxy]propionate",257-141-8,51338-27-3,Aquatic Acute 1,H400
"diclofop-methyl (ISO); methyl 2-(4-(2,4-dichlorophenoxy)phenoxy)propionate; methyl (RS)-2-[4-(2,4-dichlorophenoxy)phenoxy]propionate",257-141-8,51338-27-3,Aquatic Chronic 1,H410
"medinoterb acetate (ISO); 6-tert-butyl-3-methyl-2,4-dinitrophenyl acetate",219-634-6,2487-01-6,Acute Tox. 3 *,H301
"medinoterb acetate (ISO); 6-tert-butyl-3-methyl-2,4-dinitrophenyl acetate",219-634-6,2487-01-6,Acute Tox. 4 *,H312
sodium 3-chloroacrylate,NA,4312-97-4,Acute Tox. 4 *,H312
sodium 3-chloroacrylate,NA,4312-97-4,Acute Tox. 4 *,H302
"dipropyl 6,7-methylenedioxy-1,2,3,4-tetrahydro-3-methylnaphthalene-1,2-dicarboxylate; propylisome",NA,83-59-0,Acute Tox. 3 *,H311
"dipropyl 6,7-methylenedioxy-1,2,3,4-tetrahydro-3-methylnaphthalene-1,2-dicarboxylate; propylisome",NA,83-59-0,Acute Tox. 4 *,H302
"dipropyl 6,7-methylenedioxy-1,2,3,4-tetrahydro-3-methylnaphthalene-1,2-dicarboxylate; propylisome",NA,83-59-0,Aquatic Acute 1,H400
"dipropyl 6,7-methylenedioxy-1,2,3,4-tetrahydro-3-methylnaphthalene-1,2-dicarboxylate; propylisome",NA,83-59-0,Aquatic Chronic 1,H410
sodium fluoroacetate,200-548-2,62-74-8,Acute Tox. 1,H310
sodium fluoroacetate,200-548-2,62-74-8,Acute Tox. 2 *,H330
sodium fluoroacetate,200-548-2,62-74-8,Acute Tox. 2 *,H300
sodium fluoroacetate,200-548-2,62-74-8,Aquatic Acute 1,H400
"bis(1,2,3-trithiacyclohexyldimethylammonium) oxalate; thiocyclam-oxalate",250-859-2,31895-22-4,Acute Tox. 4 *,H312
"bis(1,2,3-trithiacyclohexyldimethylammonium) oxalate; thiocyclam-oxalate",250-859-2,31895-22-4,Acute Tox. 4 *,H302
"bis(1,2,3-trithiacyclohexyldimethylammonium) oxalate; thiocyclam-oxalate",250-859-2,31895-22-4,Aquatic Acute 1,H400
"bis(1,2,3-trithiacyclohexyldimethylammonium) oxalate; thiocyclam-oxalate",250-859-2,31895-22-4,Aquatic Chronic 1,H410
"brodifacoum (ISO); 4-hydroxy-3-(3-(4'-bromo-4-biphenylyl)-1,2,3,4-tetrahydro-1-naphthyl)coumarin",259-980-5,56073-10-0,Repr. 1A,H360D
"brodifacoum (ISO); 4-hydroxy-3-(3-(4'-bromo-4-biphenylyl)-1,2,3,4-tetrahydro-1-naphthyl)coumarin",259-980-5,56073-10-0,Acute Tox. 1,H330
"brodifacoum (ISO); 4-hydroxy-3-(3-(4'-bromo-4-biphenylyl)-1,2,3,4-tetrahydro-1-naphthyl)coumarin",259-980-5,56073-10-0,Acute Tox. 1,H310
"brodifacoum (ISO); 4-hydroxy-3-(3-(4'-bromo-4-biphenylyl)-1,2,3,4-tetrahydro-1-naphthyl)coumarin",259-980-5,56073-10-0,Acute Tox. 1,H300
"brodifacoum (ISO); 4-hydroxy-3-(3-(4'-bromo-4-biphenylyl)-1,2,3,4-tetrahydro-1-naphthyl)coumarin",259-980-5,56073-10-0,STOT RE 1,H372 (blood)
"brodifacoum (ISO); 4-hydroxy-3-(3-(4'-bromo-4-biphenylyl)-1,2,3,4-tetrahydro-1-naphthyl)coumarin",259-980-5,56073-10-0,Aquatic Acute 1,H400
"brodifacoum (ISO); 4-hydroxy-3-(3-(4'-bromo-4-biphenylyl)-1,2,3,4-tetrahydro-1-naphthyl)coumarin",259-980-5,56073-10-0,Aquatic Chronic 1,H410
dimethyl (3-methyl-4-(5-nitro-3-ethoxycarbonyl-2-thienyl)azo)phenylnitrilodipropionate,400-460-6,NA,Skin Sens. 1,H317
dimethyl (3-methyl-4-(5-nitro-3-ethoxycarbonyl-2-thienyl)azo)phenylnitrilodipropionate,400-460-6,NA,Aquatic Chronic 3,H412
"reaction mass of dodecyl 3-(2,2,4,4-tetramethyl-21-oxo-7-oxa-3,20-diazadispiro(5,1,11,2)henicosan-20-yl)propionate and tetradecyl 3-(2,2,4,4-tetramethyl-21-oxo-7-oxa-3,20-diazadispiro(5,1,11,2)henicosan-20-yl)propionate",400-580-9,NA,Skin Irrit. 2,H315
"reaction mass of dodecyl 3-(2,2,4,4-tetramethyl-21-oxo-7-oxa-3,20-diazadispiro(5,1,11,2)henicosan-20-yl)propionate and tetradecyl 3-(2,2,4,4-tetramethyl-21-oxo-7-oxa-3,20-diazadispiro(5,1,11,2)henicosan-20-yl)propionate",400-580-9,NA,Aquatic Chronic 2,H411
methyl 2-(2-nitrobenzylidene)acetoacetate,400-650-9,39562-27-1,Skin Sens. 1,H317
methyl 2-(2-nitrobenzylidene)acetoacetate,400-650-9,39562-27-1,Aquatic Chronic 2,H411
reaction mass of α-3-(3-(2H-benzotriazol-2-yl)-5-tert-butyl-4-hydroxyphenyl)propionyl-ω-hydroxypoly(oxyethylene) and α-3-(3-(2H-benzotriazol-2-yl)-5-tert-butyl-4-hydroxyphenyl)propionyl-ω-3-(3-(2H-benzotriazol-2-yl)-5-tert-butyl-4-hydroxyphenyl)propionyloxypoly(oxyethylene),400-830-7,NA,Skin Sens. 1,H317
reaction mass of α-3-(3-(2H-benzotriazol-2-yl)-5-tert-butyl-4-hydroxyphenyl)propionyl-ω-hydroxypoly(oxyethylene) and α-3-(3-(2H-benzotriazol-2-yl)-5-tert-butyl-4-hydroxyphenyl)propionyl-ω-3-(3-(2H-benzotriazol-2-yl)-5-tert-butyl-4-hydroxyphenyl)propionyloxypoly(oxyethylene),400-830-7,NA,Aquatic Chronic 2,H411
"tribenuron-methyl (ISO); methyl 2-[N-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)-N-methylcarbamoylsulfamoyl]benzoate",401-190-1,101200-48-0,Skin Sens. 1,H317
"tribenuron-methyl (ISO); methyl 2-[N-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)-N-methylcarbamoylsulfamoyl]benzoate",401-190-1,101200-48-0,Aquatic Acute 1,H400
"tribenuron-methyl (ISO); methyl 2-[N-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)-N-methylcarbamoylsulfamoyl]benzoate",401-190-1,101200-48-0,Aquatic Chronic 1,H410
"methyl α-((4,6-dimethoxypyrimidin-2-yl)ureidosulphonyl)-o-toluate",401-340-6,83055-99-6,Skin Sens. 1,H317
"methyl α-((4,6-dimethoxypyrimidin-2-yl)ureidosulphonyl)-o-toluate",401-340-6,83055-99-6,Aquatic Chronic 2,H411
(benzothiazol-2-ylthio)succinic acid,401-450-4,95154-01-1,Skin Sens. 1,H317
potassium 2-hydroxycarbazole-1-carboxylate,401-630-2,96566-70-0,Acute Tox. 4 *,H302
potassium 2-hydroxycarbazole-1-carboxylate,401-630-2,96566-70-0,STOT SE 3,H335
potassium 2-hydroxycarbazole-1-carboxylate,401-630-2,96566-70-0,Eye Irrit. 2,H319
potassium 2-hydroxycarbazole-1-carboxylate,401-630-2,96566-70-0,Aquatic Chronic 3,H412
"3,5-dichloro-2,4-difluorobenzoyl fluoride",401-800-6,101513-70-6,Acute Tox. 3 *,H331
"3,5-dichloro-2,4-difluorobenzoyl fluoride",401-800-6,101513-70-6,Acute Tox. 4 *,H302
"3,5-dichloro-2,4-difluorobenzoyl fluoride",401-800-6,101513-70-6,Skin Corr. 1B,H314
"3,5-dichloro-2,4-difluorobenzoyl fluoride",401-800-6,101513-70-6,Skin Sens. 1,H317
"3,5-dichloro-2,4-difluorobenzoyl fluoride",401-800-6,101513-70-6,Aquatic Chronic 3,H412
methyl 3-sulphamoyl-2-thenoate,402-050-2,NA,Skin Sens. 1,H317
zinc 2-hydroxy-5-C13-18alkylbenzoate,402-280-3,NA,Skin Irrit. 2,H315
zinc 2-hydroxy-5-C13-18alkylbenzoate,402-280-3,NA,Eye Irrit. 2,H319
zinc 2-hydroxy-5-C13-18alkylbenzoate,402-280-3,NA,Aquatic Chronic 2,H411
"S-(3-trimethoxysilyl)propyl 19-isocyanato-11-(6-isocyanatohexyl)-10,12-dioxo-2,9,11,13-tetraazanonadecanethioate",402-290-8,85702-90-5,Flam. Liq. 3,H226
"S-(3-trimethoxysilyl)propyl 19-isocyanato-11-(6-isocyanatohexyl)-10,12-dioxo-2,9,11,13-tetraazanonadecanethioate",402-290-8,85702-90-5,Resp. Sens. 1,H334
"S-(3-trimethoxysilyl)propyl 19-isocyanato-11-(6-isocyanatohexyl)-10,12-dioxo-2,9,11,13-tetraazanonadecanethioate",402-290-8,85702-90-5,Skin Sens. 1,H317
ethyl trans-3-dimethylaminoacrylate,402-650-4,1117-37-9,Skin Sens. 1,H317
"quinclorac (ISO); 3,7-dichloroquinoline-8-carboxylic acid",402-780-1,84087-01-4,Skin Sens. 1,H317
"bis(2,2,6,6-tetramethyl-4-piperidyl) succinate",402-940-0,62782-03-0,Eye Irrit. 2,H319
"bis(2,2,6,6-tetramethyl-4-piperidyl) succinate",402-940-0,62782-03-0,Aquatic Chronic 3,H412
hydrogen sodium N-carboxylatoethyl-N-octadec-9-enylmaleamate,402-970-4,NA,Skin Sens. 1,H317
hydrogen sodium N-carboxylatoethyl-N-octadec-9-enylmaleamate,402-970-4,NA,Aquatic Chronic 2,H411
trimethylenediaminetetraacetic acid,400-400-9,1939-36-2,Acute Tox. 4 *,H302
trimethylenediaminetetraacetic acid,400-400-9,1939-36-2,Eye Dam. 1,H318
"methyl acrylamidomethoxyacetate (containing ≥ 0,1 % acrylamid)",401-890-7,77402-03-0,Carc. 1B,H350
"methyl acrylamidomethoxyacetate (containing ≥ 0,1 % acrylamid)",401-890-7,77402-03-0,Muta. 1B,H340
"methyl acrylamidomethoxyacetate (containing ≥ 0,1 % acrylamid)",401-890-7,77402-03-0,Acute Tox. 4 *,H302
"methyl acrylamidomethoxyacetate (containing ≥ 0,1 % acrylamid)",401-890-7,77402-03-0,Eye Irrit. 2,H319
"isobutyl 3,4-epoxybutyrate",401-920-9,100181-71-3,Skin Irrit. 2,H315
"isobutyl 3,4-epoxybutyrate",401-920-9,100181-71-3,Skin Sens. 1,H317
"isobutyl 3,4-epoxybutyrate",401-920-9,100181-71-3,Aquatic Acute 1,H400
"isobutyl 3,4-epoxybutyrate",401-920-9,100181-71-3,Aquatic Chronic 1,H410
disodium N-carboxymethyl-N-(2-(2-hydroxyethoxy)ethyl)glycinate,402-360-8,92511-22-3,Eye Dam. 1,H318
propylene carbonate,203-572-1,108-32-7,Eye Irrit. 2,H319
2-methoxy-1-methylethyl acetate,203-603-9,108-65-6,Flam. Liq. 3,H226
heptanoic acid,203-838-7,111-14-8,Skin Corr. 1B,H314
nonanoic acid,203-931-2,112-05-0,Skin Irrit. 2,H315
nonanoic acid,203-931-2,112-05-0,Eye Irrit. 2,H319
nonanoic acid,203-931-2,112-05-0,Aquatic Chronic 3,H412
"propyl 3,4,5-trihydroxybenzoate",204-498-2,121-79-9,Acute Tox. 4 *,H302
"propyl 3,4,5-trihydroxybenzoate",204-498-2,121-79-9,Skin Sens. 1,H317
"octyl 3,4,5-trihydroxybenzoate",213-853-0,1034-01-1,Acute Tox. 4 *,H302
"octyl 3,4,5-trihydroxybenzoate",213-853-0,1034-01-1,Skin Sens. 1,H317
"dodecyl 3,4,5-trihydroxybenzoate",214-620-6,1166-52-5,Skin Sens. 1,H317
thiocarbonyl chloride,207-341-6,463-71-8,Acute Tox. 3 *,H331
thiocarbonyl chloride,207-341-6,463-71-8,Acute Tox. 4 *,H302
thiocarbonyl chloride,207-341-6,463-71-8,STOT SE 3,H335
thiocarbonyl chloride,207-341-6,463-71-8,Skin Irrit. 2,H315
thiocarbonyl chloride,207-341-6,463-71-8,Eye Irrit. 2,H319
"2-ethylhexyl[[[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]methyl]thio]acetate",279-452-8,80387-97-9,Repr. 1B,H360D ***
"2-ethylhexyl[[[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]methyl]thio]acetate",279-452-8,80387-97-9,Skin Sens. 1,H317
"2-ethylhexyl[[[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]methyl]thio]acetate",279-452-8,80387-97-9,Aquatic Chronic 3,H412
"(chlorophenyl)(chlorotolyl)methane, mixed isomers",400-140-6,NA,Aquatic Acute 1,H400
"(chlorophenyl)(chlorotolyl)methane, mixed isomers",400-140-6,NA,Aquatic Chronic 1,H410
methyl chloroacetate,202-501-1,96-34-4,Flam. Liq. 3,H226
methyl chloroacetate,202-501-1,96-34-4,Acute Tox. 3 *,H331
methyl chloroacetate,202-501-1,96-34-4,Acute Tox. 3 *,H301
methyl chloroacetate,202-501-1,96-34-4,STOT SE 3,H335
methyl chloroacetate,202-501-1,96-34-4,Skin Irrit. 2,H315
methyl chloroacetate,202-501-1,96-34-4,Eye Dam. 1,H318
isopropyl chloroacetate,203-301-7,105-48-6,Flam. Liq. 3,H226
isopropyl chloroacetate,203-301-7,105-48-6,Acute Tox. 3 *,H301
isopropyl chloroacetate,203-301-7,105-48-6,STOT SE 3,H335
isopropyl chloroacetate,203-301-7,105-48-6,Skin Irrit. 2,H315
isopropyl chloroacetate,203-301-7,105-48-6,Eye Irrit. 2,H319
